"Num","Pl","Name","Female","Rk","NbW","R1","R2","R3","R4","R5","NBW","SOS","SOSOS"
"1","1","Anna Bell","true","30K","4","2=","2+","11+","3+","3+","4","0","0"
"2","2","Carl Dean","false","30K","3","1=","1-","12+","5+","6+","3","0","0"
"3","3","Eve Frost","false","30K","3","4+","5+","7+","1-","1-","3","0","0"
"4","4","Gus Hale","false","30K","4","3-","6+","5+","7+","8+","4","0","0"
"5","5","Ivy Jung","true","30K","2","6+","3-","4-","2-","12+","2","0","0"
"6","6","Kwan Yat Hei, George","true","30K","2","5-","4-","10+","9+","2-","2","0","0"
"7","7","Mara Nord","false","30K","3","8+","9+","3-","4-","11+","3","0","0"
"8","8","Omar Pace","false","30K","3","7-","10+","9+","11+","4-","3","0","0"
"9","9","Rae Quinn","true","30K","2","10+","7-","8-","6-","0+","2","0","0"
"10","10","Sam True","false","30K","2","9-","8-","6-","0+","13+","2","0","0"
"11","11","Tan Yu Xin, Benjamin","false","30K","2","12+","13+","1-","8-","7-","2","0","0"
"12","12","Uma Vale","true","30K","2","11-","0+","2-","13+","5-","2","0","0"
"13","13","Will Yorke","false","30K","1","0+","11-","0-","12-","10-","1","0","0"
